20:10:09.262 [Timer-0] INFO  org.arzije.ziberovska.model.Buffer - Buffer size: 0
20:10:09.671 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producers: 0
20:10:09.672 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producers: 1
20:10:09.673 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producers: 2
20:10:09.675 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producers: 3
20:10:09.676 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producers: 4
20:10:09.677 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producers: 5
20:10:09.677 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producers: 6
20:10:09.678 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producers: 7
20:10:09.691 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumers: 0
20:10:09.692 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumers: 1
20:10:09.692 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumers: 2
20:10:09.693 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumers: 3
20:10:09.693 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumers: 4
20:10:09.694 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumers: 5
20:10:09.694 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumers: 6
20:10:12.597 [Thread-1] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 1 items.
20:10:12.605 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3990 ms. Buffer size: 1
20:10:12.672 [Thread-2] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 2 items.
20:10:12.673 [Thread-3] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 3 items.
20:10:12.674 [Thread-4] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 4 items.
20:10:12.675 [Thread-5] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 5 items.
20:10:12.677 [Thread-6] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 6 items.
20:10:12.677 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 6788 ms. Buffer size: 5
20:10:12.678 [Thread-7] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 7 items.
20:10:12.679 [Thread-8] INFO  org.arzije.ziberovska.model.Buffer - Buffer size is now high at 8 items.
20:10:12.686 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 1783 ms. Buffer size: 8
20:10:12.687 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3643 ms. Buffer size: 8
20:10:12.688 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 3567 ms. Buffer size: 8
20:10:12.689 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 5202 ms. Buffer size: 8
20:10:12.700 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8054 ms. Buffer size: 1
20:10:12.700 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Producer added an item. Production interval: 8424 ms. Buffer size: 1
20:10:12.703 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4819 ms. Buffer size: 1
20:10:12.703 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 4425 ms. Buffer size: 1
20:10:12.704 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 5439 ms. Buffer size: 1
20:10:12.704 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 3167 ms. Buffer size: 1
20:10:12.704 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7587 ms. Buffer size: 1
20:10:12.704 [AWT-EventQueue-0] INFO  org.arzije.ziberovska.view.GUI - Consumer consumed an item. Consumption interval: 7737 ms. Buffer size: 1
